,image_id,pre_1,pre_2,gt
0,0,1,0,0
1,1,1,1,1
2,2,1,1,1
3,3,0,0,0
4,4,1,1,1
5,5,1,0,1
6,6,1,1,1
7,7,1,0,1
8,8,0,0,0
9,9,1,1,1
10,10,1,0,1
11,11,1,1,1
12,12,1,1,1
13,13,1,0,1
14,14,1,0,0
15,15,1,1,1
16,16,1,1,1
17,17,1,1,1
18,18,1,0,1
19,19,1,1,1
20,20,1,0,0
21,21,0,0,0
22,22,0,0,0
23,23,1,1,1
24,24,0,0,0
25,25,1,1,1
26,26,1,1,1
27,27,1,1,1
28,28,1,1,1
29,29,1,0,1
30,30,1,1,1
31,31,1,0,1
32,32,1,0,1
33,33,1,1,1
34,34,1,1,1
35,35,0,0,0
36,36,1,1,0
37,37,1,1,1
38,38,1,0,1
39,39,1,0,1
40,40,1,0,1
41,41,1,0,1
42,42,1,0,1
43,43,1,1,1
44,44,0,0,0
45,45,1,1,1
46,46,1,1,1
47,47,1,1,1
48,48,1,0,0
49,49,1,0,1
50,50,1,0,1
51,51,0,0,0
52,52,1,0,0
53,53,1,0,0
54,54,1,1,1
55,55,1,0,1
56,56,0,0,0
57,57,0,0,0
58,58,1,1,1
59,59,1,0,0
60,60,1,0,1
61,61,1,1,1
62,62,1,0,1
63,63,1,1,1
64,64,1,1,1
65,65,1,1,1
66,66,1,1,1
67,67,1,1,1
68,68,0,0,0
69,69,1,0,1
70,70,1,1,1
71,71,0,0,0
72,72,1,1,1
73,73,1,1,1
74,74,1,1,1
75,75,0,0,0
76,76,1,1,1
77,77,1,0,1
78,78,1,0,1
79,79,1,0,1
80,80,1,1,1
81,81,1,1,1
82,82,1,1,1
83,83,1,1,1
84,84,1,0,1
85,85,0,0,0
86,86,0,0,0
87,87,1,0,0
88,88,1,1,1
89,89,1,1,1
90,90,1,1,1
91,91,1,1,1
92,92,1,1,1
93,93,1,1,1
94,94,1,1,1
95,95,1,1,1
96,96,1,1,1
97,97,1,0,1
98,98,1,1,1
99,99,1,0,1
100,100,1,0,1
101,101,1,1,1
102,102,1,1,1
103,103,0,0,0
104,104,0,0,0
105,105,1,1,1
106,106,1,1,1
107,107,1,1,1
108,108,0,0,0
109,109,1,0,1
